,time,gender,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
118,5/18/2016 1:21:32,Male,Straight,19,19854,White non-Hispanic,Normal weight,Yes,Yes,No,2.0,Yes,No,I don't want help,No,Employed for wages,Software developer ,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
119,5/18/2016 1:21:57,Male,Straight,21,75808,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,1.0,No,Yes,I don't want help,No,Self-employed, Ceo,Trade/technical/vocational training,None
120,5/18/2016 1:24:26,Male,Bisexual,23,28319,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,4.0,No,Yes,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Factory Worker,"Some college, no degree",None
121,5/18/2016 1:24:33,Male,Straight,20,4498,White non-Hispanic,Underweight,Yes,No,No,5.0,Yes,Yes,Set me up with a date,No,A student,None,"Some college, no degree","Cosmetic survey, Joined a gym/go to the gym, Therapy"
122,5/18/2016 1:33:14,Male,Straight,20,7924,White non-Hispanic,Obese,Yes,No,No,3.0,Yes,Yes,I don't want help,Yes,Out of work and looking for work,none,"Some college, no degree","Therapy, Other exercise, join clubs/socual clubs/meet ups"
123,5/18/2016 1:35:21,Male,Straight,21,0,White non-Hispanic,Underweight,Yes,Yes,No,0.0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,Not employed,"High school graduate, diploma or the equivalent (for example: GED)",None
124,5/18/2016 1:35:25,Male,Bisexual,17,0,White non-Hispanic,Underweight,Yes,No,No,2.0,No,Yes,Im on my own,No,A student,Popo,"Some college, no degree","Therapy, join clubs/socual clubs/meet ups"
125,5/18/2016 1:42:06,Male,Straight,28,17929,White non-Hispanic,Normal weight,Yes,No,No,4.0,Yes,Yes,date coaching,No,Employed for wages,supervisor,Bachelor’s degree,None
126,5/18/2016 1:49:54,Male,Bisexual,20,0,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,3.0,No,Yes,I don't want help,No,Out of work but not currently looking for work,,"Some college, no degree",None
127,5/18/2016 1:52:46,Male,Bisexual,22,3987,White non-Hispanic,Normal weight,Yes,No,No,2.0,Yes,No,date coaching,No,A student,Cashier,"Some college, no degree",join clubs/socual clubs/meet ups
128,5/18/2016 1:54:43,Male,Straight,70,196259,White non-Hispanic,Obese,No,No,No,5.0,No,Yes,I don't want help,No,Retired,super pooper,Doctorate degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
129,5/18/2016 1:55:09,Male,Straight,28,22818,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,0.0,Yes,No,"Set me up with a date, date coaching",No,Employed for wages,Truck driver,Trade/technical/vocational training,Therapy
130,5/18/2016 1:55:46,Male,Straight,30,57224,Mixed race,Underweight,No,No,No,12.0,Yes,Yes,Set me up with a date,No,Out of work but not currently looking for work,,"Some college, no degree","Therapy, Other exercise"
131,5/18/2016 1:55:52,Male,Straight,24,5826,White non-Hispanic,Normal weight,Yes,Yes,No,3.0,Yes,No,I don't want help,Yes,Employed for wages,user-carer,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise"
132,5/18/2016 1:56:41,Male,Straight,26,167546,White non-Hispanic,Normal weight,No,No,No,20.0,Yes,No,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Lawyer,Professional degree,Other exercise
133,5/18/2016 1:58:47,Male,Straight,21,4654,White non-Hispanic,Normal weight,Yes,No,No,6.0,No,Yes,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Cook,"Some college, no degree","Joined a gym/go to the gym, Other exercise"
134,5/18/2016 2:06:32,Male,Straight,34,13388,Asian,Normal weight,No,No,No,5.0,No,Yes,help getting a better job,No,Employed for wages,retail worker,Professional degree,"Other exercise, join clubs/socual clubs/meet ups"
135,5/18/2016 2:12:29,Male,Straight,22,0,Hispanic (of any race),Underweight,Yes,No,Yes but I haven't,6.0,Yes,Yes,I don't want help,No,A student,U serious?,"Some college, no degree",Other exercise
136,5/18/2016 2:13:08,Male,Straight,29,46787,White non-Hispanic,Normal weight,Yes,Yes,No,0.0,No,Yes,I don't want help,No,Employed for wages,Senior software developer,Bachelor’s degree,None
137,5/18/2016 2:16:27,Male,Straight,29,36278,Pakistani,Overweight,Yes,No,Yes but I haven't,18.0,No,No,"wingman/wingwoman, date coaching",No,Employed for wages,IT Engineer,"High school graduate, diploma or the equivalent (for example: GED)",join clubs/socual clubs/meet ups
138,5/18/2016 2:24:07,Male,Straight,24,9476,White non-Hispanic,Normal weight,Yes,Yes,No,1.0,No,No,I don't want help,No,A student,Student,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
139,5/18/2016 2:27:11,Male,Straight,30,200000,White non-Hispanic,Overweight,Yes,No,No,1.0,Yes,No,I don't want help,No,Employed for wages,software engineer,Doctorate degree,Other exercise
140,5/18/2016 2:28:29,Male,Straight,19,15151,White non-Hispanic,Overweight,Yes,No,No,4.0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,Engineer,"Some college, no degree",Other exercise
141,5/18/2016 2:28:37,Male,Straight,28,70113,White non-Hispanic,Underweight,Yes,Yes,No,2.0,Yes,No,Set me up with a date,No,Employed for wages,Software eng.,Bachelor’s degree,None
142,5/18/2016 2:35:32,Female,Bisexual,19,9530,White non-Hispanic,Normal weight,Yes,Yes,No,1.0,Yes,Yes,I don't want help,No,A student,Student ,"Some high school, no diploma",Therapy
143,5/18/2016 2:38:51,Male,Straight,19,18225,White non-Hispanic,Overweight,Yes,Yes,No,0.0,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Yes,A student,student,"Some college, no degree","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
144,5/18/2016 2:40:05,Female,Straight,25,40378,Asian,Underweight,No,No,No,17.0,No,No,I'm not fa lol,No,Employed for wages,Admin,Bachelor’s degree,Nope not Fa
145,5/18/2016 2:42:02,Female,Bisexual,21,0,Hispanic (of any race),Normal weight,No,No,No,10.0,Yes,Yes,I don't want help,Yes,A student,Student,"Some college, no degree","Therapy, Other exercise"
146,5/18/2016 2:51:15,Male,Straight,35,83365,White non-Hispanic,Overweight,No,Yes,Yes and I have,3.0,Yes,Yes,I don't want help,No,Employed for wages,Senior Developer,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
147,5/18/2016 2:53:44,Female,Straight,21,0,Asian,Normal weight,Yes,No,No,5.0,Yes,No,I don't want help,No,A student,College student/research intern ,Bachelor’s degree,"Other exercise, Hobbies - music, languages, calligraphy"
148,5/18/2016 2:58:31,Male,Straight,24,0,Black,Normal weight,Yes,No,Yes and I have,5.0,Yes,Yes,I don't want help,No,A student,student,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
149,5/18/2016 3:04:00,Male,Straight,18,9734,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,5.0,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
150,5/18/2016 3:06:09,Female,Bisexual,12,191826,helicopterkin,Obese,No,Yes,No,15.0,No,No,"I don't want help, more one night stands",No,Out of work but not currently looking for work,Sugar baby,"Some high school, no diploma",just b confident
151,5/18/2016 3:06:44,Female,Straight,23,9657,White non-Hispanic,Normal weight,No,No,No,3.0,Yes,Yes,I don't want help,No,A student,assistant caretaker,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
152,5/18/2016 3:26:59,Male,Straight,29,149559,Black,Overweight,Yes,No,Yes but I haven't,6.0,Yes,Yes,not sure what would help,Yes,Self-employed,Engineer,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
153,5/18/2016 3:28:33,Male,Straight,24,73037,White non-Hispanic,Normal weight,No,No,Yes and I have,20.0,Yes,No,"wingman/wingwoman, Set me up with a date",No,Self-employed,Coo,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
154,5/18/2016 3:28:56,Male,Straight,30,9868,White non-Hispanic,Underweight,Yes,No,No,1.0,Yes,Yes,I don't want help,No,Employed for wages,Researcher,Doctorate degree,"Joined a gym/go to the gym, Therapy"
155,5/18/2016 3:36:07,Male,Straight,21,0,White non-Hispanic,Normal weight,Yes,Yes,No,3.0,Yes,Yes,I don't want help,No,A student,Application Developer,"Some college, no degree",None
156,5/18/2016 3:43:25,Male,Straight,18,0,Asian,Underweight,Yes,No,Yes but I haven't,3.0,Yes,Yes,I don't want help,Yes,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",None
157,5/18/2016 3:46:31,Male,Straight,22,0,Hispanic (of any race),Overweight,Yes,No,Yes but I haven't,2.0,Yes,Yes,I don't want help,No,Unable to work,None ,Associate degree,Therapy
158,5/18/2016 3:47:09,Male,Straight,22,20304,White non-Hispanic,Overweight,Yes,No,No,3.0,Yes,No,wingman/wingwoman,No,Employed for wages,Courier,"Some college, no degree",Joined a gym/go to the gym
159,5/18/2016 3:49:14,Male,Straight,26,31002,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,1.0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,Accounts Receivable,Associate degree,"Joined a gym/go to the gym, Other exercise"
160,5/18/2016 3:51:31,Male,Straight,20,0,Hispanic (of any race),Overweight,Yes,No,No,1.0,Yes,Yes,"Set me up with a date, date coaching",Yes,A student,None ,"Some college, no degree","Therapy, Other exercise, Develop hobbies"
161,5/18/2016 4:02:09,Male,Straight,17,0,Hispanic (of any race),Normal weight,Yes,Yes,No,6.0,No,No,I don't want help,No,A student,student,"Some high school, no diploma",None
162,5/18/2016 4:05:46,Male,Straight,20,12491,White non-Hispanic,Underweight,Yes,No,No,1.0,Yes,No,Set me up with a date,No,Employed for wages,Zivildiener (austrian stuff),"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, join clubs/socual clubs/meet ups"
163,5/18/2016 4:16:01,Male,Straight,28,76788,Middle Eastern,Normal weight,Yes,Yes,No,10.0,No,No,I don't want help,No,Employed for wages,Software Engineer,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
164,5/18/2016 4:23:37,Male,Straight,36,68810,Asian,Normal weight,No,No,Yes and I have,80.0,No,Yes,Set me up with a date,No,Employed for wages,ggg,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
165,5/18/2016 4:34:17,Female,Straight,26,42550,White non-Hispanic,Obese,Yes,No,No,2.0,Yes,Yes,date coaching,No,Employed for wages,RN,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
166,5/18/2016 4:37:40,Male,Straight,28,0,White non-Hispanic,Overweight,Yes,Yes,No,0.0,Yes,Yes,"date coaching, social skills training",No,Out of work but not currently looking for work,,"Some college, no degree","Joined a gym/go to the gym, Therapy"
167,5/18/2016 4:37:52,Male,Straight,21,75597,Asian,Normal weight,Yes,No,No,1.0,No,Yes,I don't want help,No,Employed for wages,Auditor,Master’s degree,Joined a gym/go to the gym
168,5/18/2016 4:48:24,Male,Straight,21,0,Asian,Normal weight,Yes,Yes,No,5.0,Yes,No,Set me up with a date,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
169,5/18/2016 4:57:53,Male,Straight,23,18283,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,1.0,Yes,Yes,I don't want help,No,A student,student,Bachelor’s degree,Other exercise
170,5/18/2016 4:59:02,Male,Straight,23,0,White non-Hispanic,Underweight,Yes,No,No,0.0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,,Associate degree,None
171,5/18/2016 5:00:58,Male,Bisexual,23,20175,White non-Hispanic,Normal weight,No,No,Yes but I haven't,10.0,Yes,Yes,I don't want help,No,A student,Freelance writer,"Some college, no degree","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
172,5/18/2016 5:06:51,Male,Straight,28,10103,White non-Hispanic,Normal weight,No,No,No,5.0,Yes,Yes,I don't want help,No,Employed for wages,Clerk,"Some high school, no diploma","Therapy, Other exercise, join clubs/socual clubs/meet ups"
173,5/18/2016 5:11:10,Male,Straight,31,2201,White non-Hispanic,Normal weight,Yes,No,No,0.0,No,Yes,I don't want help,No,Self-employed,self employed,"Some high school, no diploma",Other exercise
174,5/18/2016 5:11:50,Male,Straight,19,8569,Asian,Normal weight,Yes,Yes,No,1.0,Yes,Yes,wingman/wingwoman,No,A student,-,"High school graduate, diploma or the equivalent (for example: GED)",None
175,5/18/2016 5:15:37,Female,Gay/Lesbian,15,0,White non-Hispanic,Normal weight,Yes,No,No,0.0,Yes,No,I don't want help,No,A student,student,"Some high school, no diploma",None
176,5/18/2016 5:28:33,Male,Straight,26,7850,Turkish,Overweight,Yes,Yes,No,3.0,Yes,Yes,"There is no way that they can help. They only give useless advice like ""just be more confident"".",No,Employed for wages,Operations Manager (i.e. I do what my father tells me to do in our family company).,Master’s degree,"Joined a gym/go to the gym, Therapy, Joined a German language learning course."
177,5/18/2016 5:29:14,Male,Straight,28,58458,Asian,Overweight,Yes,No,No,10.0,Yes,Yes,I don't want help,No,Employed for wages,Mechanical engineer,Master’s degree,Other exercise
178,5/18/2016 5:41:19,Male,Straight,23,7079,White non-Hispanic,Overweight,Yes,No,No,10.0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,Third Manager,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
179,5/18/2016 5:42:39,Male,Gay/Lesbian,26,37312,White non-Hispanic,Overweight,Yes,No,No,0.0,No,Yes,I don't want help,Yes,Employed for wages,Flight Attendant,Associate degree,None
180,5/18/2016 5:45:48,Male,Straight,27,38005,White non-Hispanic,Normal weight,Yes,No,Yes and I have,15.0,No,No,I don't want help,No,Self-employed,Interpreter,Master’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
181,5/18/2016 5:47:41,Male,Straight,26,0,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,10.0,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,Student,Bachelor’s degree,Other exercise
182,5/18/2016 5:49:21,Male,Straight,35,32029,Asian,Normal weight,Yes,Yes,No,2.0,Yes,Yes,I don't want help,No,Employed for wages,engineer,"Some college, no degree",None
183,5/18/2016 5:49:42,Male,Straight,31,15081,White non-Hispanic,Obese,Yes,No,No,3.0,No,No,Set me up with a date,No,Self-employed,none,"Some college, no degree",None
184,5/18/2016 5:50:59,Male,Straight,57,16058,White non-Hispanic,Normal weight,No,No,No,0.0,No,No,I don't want help,No,Employed for wages,vehicle prep,Trade/technical/vocational training,None
185,5/18/2016 5:52:27,Male,Straight,25,0,Hispanic (of any race),Normal weight,No,No,Yes and I have,0.0,Yes,Yes,I don't want help,Yes,Out of work and looking for work,dunno,Bachelor’s degree,"Joined a gym/go to the gym, Therapy"
186,5/18/2016 6:03:51,Male,Straight,25,0,White non-Hispanic,Normal weight,Yes,No,No,0.0,Yes,Yes,I don't want help,No,Unable to work,none,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, None"
187,5/18/2016 6:21:19,Male,Gay/Lesbian,25,0,White non-Hispanic,Overweight,Yes,No,No,6.0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Out of work and looking for work,Unemployed ,"High school graduate, diploma or the equivalent (for example: GED)",Therapy
188,5/18/2016 6:23:18,Female,Bisexual,22,5786,White non-Hispanic,Normal weight,No,No,No,0.0,Yes,Yes,I don't want help,Yes,A student,Student,"Some college, no degree",Therapy
189,5/18/2016 6:38:46,Female,Straight,23,0,Asian,Underweight,Yes,No,No,0.0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,N/a,Bachelor’s degree,Other exercise
190,5/18/2016 6:40:35,Female,Straight,21,145037,White non-Hispanic,Normal weight,No,No,No,16.0,No,No,I don't want help,No,Self-employed,Accountant,Associate degree,None
191,5/18/2016 6:41:08,Male,Straight,33,0,White non-Hispanic,Normal weight,Yes,No,No,1.0,Yes,Yes,I don't want help,Yes,Out of work and looking for work,Unemployed,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
192,5/18/2016 6:53:02,Male,Straight,18,60171,Asian,Normal weight,Yes,No,No,5.0,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Employed for wages,Intern,"Some college, no degree",Joined a gym/go to the gym
193,5/18/2016 6:55:07,Male,Straight,27,0,White non-Hispanic,Underweight,Yes,Yes,No,1.0,Yes,Yes,I don't want help,No,A student,*,Bachelor’s degree,None
194,5/18/2016 7:02:48,Male,Straight,21,16581,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,1.0,Yes,Yes,I don't want help,No,A student,student,"High school graduate, diploma or the equivalent (for example: GED)",None
195,5/18/2016 7:04:09,Male,Straight,20,0,White non-Hispanic,Normal weight,No,No,Yes and I have,0.0,No,No,I don't want help,No,A student,None,"High school graduate, diploma or the equivalent (for example: GED)",None
196,5/18/2016 7:10:02,Male,Straight,23,1922,White non-Hispanic,Normal weight,Yes,No,No,0.0,No,No,"wingman/wingwoman, Set me up with a date",No,A student,student,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
197,5/18/2016 7:12:21,Male,Straight,29,49660,Asian,Obese,Yes,No,Yes but I haven't,0.0,No,No,"wingman/wingwoman, Set me up with a date, date coaching",No,Self-employed, Therapy,Bachelor’s degree,None
198,5/18/2016 7:13:43,Male,Straight,23,388,Asian,Normal weight,Yes,Yes,Yes but I haven't,2.0,Yes,Yes,I don't want help,No,Out of work and looking for work,Your survey question design is bad and you should feel bad.,Bachelor’s degree,None
199,5/18/2016 7:19:47,Female,Straight,26,9948,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,0.0,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Yes,Out of work but not currently looking for work,useless,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, join clubs/socual clubs/meet ups, medication"
200,5/18/2016 7:27:20,Male,Straight,22,16090,White non-Hispanic,Normal weight,Yes,No,No,0.0,Yes,Yes,date coaching,No,Out of work and looking for work,.,"Some college, no degree","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
201,5/18/2016 7:28:01,Male,Straight,23,0,Indian,Underweight,Yes,No,Yes but I haven't,3.0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Out of work and looking for work,Student,Bachelor’s degree,None
202,5/18/2016 7:41:18,Male,Straight,27,0,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,6.0,Yes,Yes,I don't want any help. I can't even talk about it.,Yes,Out of work but not currently looking for work,Philosopher,"Some high school, no diploma",Other exercise
203,5/18/2016 7:41:18,Male,Straight,24,0,White non-Hispanic,Normal weight,Yes,No,No,0.0,Yes,Yes,I don't want help,Yes,A student,What?,"High school graduate, diploma or the equivalent (for example: GED)",Trying to accept my fate.
204,5/18/2016 7:46:46,Male,Straight,28,0,White non-Hispanic,Normal weight,No,Yes,Yes but I haven't,3.0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Out of work and looking for work,loser,Master’s degree,Other exercise
205,5/18/2016 7:46:57,Male,Straight,19,18435,White non-Hispanic,Overweight,Yes,Yes,Yes but I haven't,10.0,No,Yes,I don't want help,Yes,Employed for wages,Software Engineer,Trade/technical/vocational training,Other exercise
206,5/18/2016 7:54:01,Male,Straight,24,5715,Black,Underweight,No,No,Yes but I haven't,4.0,Yes,Yes,I don't want help,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
207,5/18/2016 7:55:10,Male,Straight,25,141689,White non-Hispanic,Normal weight,No,No,Yes but I haven't,30.0,No,No,I don't want help,No,Employed for wages,Financial Analyst,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
208,5/18/2016 8:08:44,Male,Straight,18,9828,White non-Hispanic,Normal weight,Yes,Yes,No,0.0,No,No,wingman/wingwoman,No,A student,Student ,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
209,5/18/2016 8:10:41,Male,Straight,27,0,White non-Hispanic,Underweight,No,No,No,13.0,No,Yes,I don't want help,No,Out of work and looking for work,currently unemployed,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise"
210,5/18/2016 8:14:39,Female,Gay/Lesbian,35,681,Black,Obese,No,No,No,3.0,Yes,Yes,"wingman/wingwoman, Set me up with a date",No,Out of work but not currently looking for work,Nothing,"Some college, no degree","Therapy, join clubs/socual clubs/meet ups"
211,5/18/2016 8:14:52,Male,Straight,19,0,White non-Hispanic,Normal weight,Yes,No,No,6.0,Yes,No,"wingman/wingwoman, date coaching",No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise"
212,5/18/2016 8:17:01,Female,Bisexual,21,3741,White non-Hispanic,Normal weight,No,Yes,No,7.0,Yes,Yes,I don't want help,Yes,Out of work and looking for work,Lifeguard,Bachelor’s degree,"Therapy, Other exercise, join clubs/socual clubs/meet ups"
213,5/18/2016 8:18:08,Female,Straight,30,6025,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,0.0,No,Yes,I don't want help,No,Employed for wages,lackey,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
214,5/18/2016 8:22:09,Male,Straight,18,32365,Native american,Normal weight,Yes,No,Yes but I haven't,0.0,Yes,Yes,Friends,Yes,Out of work and looking for work,None,"High school graduate, diploma or the equivalent (for example: GED)",Joined a gym/go to the gym
215,5/18/2016 8:24:22,Female,Bisexual,27,23854,White non-Hispanic,Normal weight,Yes,Yes,No,10.0,Yes,No,I don't want help,No,Employed for wages,teacher,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
216,5/18/2016 8:27:23,Male,Straight,35,18262,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,4.0,Yes,Yes,date coaching,No,Self-employed,online seller,"Some college, no degree",Joined a gym/go to the gym
217,5/18/2016 8:34:48,Male,Straight,28,4046,White non-Hispanic,Normal weight,Yes,Yes,No,15.0,No,No,date coaching,No,A student,student,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
218,5/18/2016 8:41:25,Female,Straight,28,28442,White non-Hispanic,Overweight,No,No,No,20.0,No,No,wingman/wingwoman,No,Self-employed,Musician,Master’s degree,Joined a gym/go to the gym
219,5/18/2016 8:42:53,Male,Straight,19,3388,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,3.0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,Student,"Some high school, no diploma",None
220,5/18/2016 8:46:21,Female,Straight,29,51493,White non-Hispanic,Normal weight,No,No,No,5.0,Yes,Yes,I don't want help,Yes,Employed for wages,Designer,Associate degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
221,5/18/2016 8:49:24,Male,Straight,29,33086,White non-Hispanic,Normal weight,Yes,No,No,7.0,Yes,No,"wingman/wingwoman, Set me up with a date",Yes,Employed for wages,Production Editor,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
222,5/18/2016 8:50:29,Male,Straight,22,424,White non-Hispanic,Normal weight,Yes,No,No,1.0,Yes,Yes,I don't want help,No,Employed for wages,Job,"Some college, no degree","Therapy, Other exercise, join clubs/socual clubs/meet ups"
223,5/18/2016 8:52:16,Male,Straight,24,2896,White non-Hispanic,Overweight,Yes,Yes,Yes but I haven't,1.0,Yes,Yes,Set me up with a date,No,Out of work but not currently looking for work,none,"Some college, no degree",Therapy
224,5/18/2016 8:56:57,Male,Straight,20,4962,Black,Normal weight,Yes,No,No,10.0,Yes,Yes,date coaching,No,A student,Bio major,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
225,5/18/2016 8:57:05,Male,Straight,23,50408,White non-Hispanic,Normal weight,Yes,No,No,4.0,Yes,Yes,I don't want help,No,Employed for wages,System Analyst Associate ,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy"
226,5/18/2016 9:08:40,Male,Straight,22,8076,White non-Hispanic,Normal weight,Yes,Yes,No,0.0,No,Yes,I don't want help,Yes,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
227,5/18/2016 9:19:05,Male,Straight,17,0,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,10.0,No,No,"wingman/wingwoman, Set me up with a date, date coaching",No,A student,student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
228,5/18/2016 9:27:05,Male,Straight,19,0,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,1.0,Yes,Yes,I don't want help,No,Unable to work,Unemployed,"Some high school, no diploma","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
229,5/18/2016 9:27:15,Male,Straight,24,0,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,1.0,No,Yes,"wingman/wingwoman, Set me up with a date",No,A student,Student,Bachelor’s degree,None
230,5/18/2016 9:29:39,Male,Straight,31,23140,White non-Hispanic,Overweight,No,No,Yes but I haven't,3.0,Yes,Yes,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Delivery manager,"Some college, no degree","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
231,5/18/2016 9:31:41,Male,Straight,22,12578,White non-Hispanic,Normal weight,No,Yes,Yes but I haven't,8.0,No,Yes,I don't want help,No,Self-employed,-,Bachelor’s degree,Joined a gym/go to the gym
232,5/18/2016 9:37:14,Male,Straight,24,17330,Asian,Overweight,No,No,Yes and I have,3.0,Yes,Yes,I don't want help,No,Employed for wages,Clerk,Bachelor’s degree,Joined a gym/go to the gym
233,5/18/2016 9:39:15,Male,Straight,31,27863,White non-Hispanic,Normal weight,No,No,No,2.0,Yes,Yes,I don't want help,No,Employed for wages,S,"Some college, no degree",None
234,5/18/2016 9:42:24,Male,Straight,22,21921,Asian,Normal weight,Yes,Yes,Yes and I have,3.0,Yes,No,I don't want help,No,A student,Masters,Bachelor’s degree,"Joined a gym/go to the gym, Other exercise"
235,5/18/2016 9:53:09,Male,Straight,20,0,White non-Hispanic,Normal weight,Yes,Yes,No,0.0,Yes,Yes,Set me up with a date,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy"
236,5/18/2016 9:54:14,Female,Straight,27,1728,White non-Hispanic,Overweight,Yes,Yes,No,1.0,Yes,Yes,coping with being beyond help,Yes,A student,-,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, diets, change of wardrobe, medication, diet pills "
237,5/18/2016 9:54:39,Male,Straight,24,6849,Black,Overweight,Yes,No,Yes but I haven't,6.0,No,No,I don't want help,No,A student,Student,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
238,5/18/2016 9:55:57,Male,Straight,26,0,White non-Hispanic,Normal weight,Yes,No,No,0.0,Yes,Yes,I don't want help,No,Unable to work,nothing,"Some college, no degree",None
239,5/18/2016 9:56:07,Male,Straight,22,0,Asian,Normal weight,Yes,Yes,No,0.0,Yes,Yes,Set me up with a date,No,Out of work but not currently looking for work,None,"Some college, no degree",Joined a gym/go to the gym
